model,metric,family,direction,value
jump-segmentation,boundary_f1,recovery,higher,0.0
jump-segmentation,recovery_score,recovery,higher,0.6619964603636092
kmeans-regime,prediction_coverage,runtime,higher,1.0
kmeans-regime,fit_seconds,runtime,lower,0.02696359995752573
kmeans-regime,regime_persistence,regime_quality,higher,0.9839357429718876
kmeans-regime,switching_frequency,regime_quality,lower,0.016064257028112428
kmeans-regime,occupancy_concentration,regime_quality,lower,0.770848
kmeans-regime,state_entropy,regime_quality,higher,0.5628977911449632
kmeans-regime,transition_concentration,regime_quality,higher,0.9650673400673401
kmeans-regime,probability_entropy,regime_quality,lower,0.0
kmeans-regime,aligned_accuracy,recovery,higher,0.936
kmeans-regime,balanced_accuracy,recovery,higher,0.8827437302773625
kmeans-regime,adjusted_rand_index,recovery,higher,0.6403965835786883
kmeans-regime,normalized_mutual_information,recovery,higher,0.4453787061653608
kmeans-regime,macro_f1,recovery,higher,0.8484848484848484
kmeans-regime,boundary_precision,recovery,higher,0.0
kmeans-regime,boundary_recall,recovery,higher,0.0
kmeans-regime,boundary_f1,recovery,higher,0.0
kmeans-regime,recovery_score,recovery,higher,0.655467596119486
kmeans-regime,confidence_calibration,regime_quality,lower,0.06399999999999995
explicit-duration-latent-state,prediction_coverage,runtime,higher,1.0
explicit-duration-latent-state,fit_seconds,runtime,lower,0.7378676999360323
explicit-duration-latent-state,regime_persistence,regime_quality,higher,0.9718875502008032
explicit-duration-latent-state,switching_frequency,regime_quality,lower,0.028112449799196804
explicit-duration-latent-state,occupancy_concentration,regime_quality,lower,0.623008
explicit-duration-latent-state,state_entropy,regime_quality,higher,0.8144326879441559
explicit-duration-latent-state,transition_concentration,regime_quality,higher,0.960189452124936
explicit-duration-latent-state,probability_entropy,regime_quality,lower,0.04562051157978049
explicit-duration-latent-state,aligned_accuracy,recovery,higher,0.848
explicit-duration-latent-state,balanced_accuracy,recovery,higher,0.8985218402258761
explicit-duration-latent-state,adjusted_rand_index,recovery,higher,0.391725953390842
explicit-duration-latent-state,normalized_mutual_information,recovery,higher,0.32329482193433084
explicit-duration-latent-state,macro_f1,recovery,higher,0.7425474254742548
explicit-duration-latent-state,boundary_precision,recovery,higher,0.0
explicit-duration-latent-state,boundary_recall,recovery,higher,0.0
explicit-duration-latent-state,boundary_f1,recovery,higher,0.0
explicit-duration-latent-state,recovery_score,recovery,higher,0.5847045107216472
explicit-duration-latent-state,confidence_calibration,regime_quality,lower,0.14511162418909965
gmm-hmm,prediction_coverage,runtime,higher,1.0
gmm-hmm,fit_seconds,runtime,lower,0.6023861002177
gmm-hmm,regime_persistence,regime_quality,higher,0.9718875502008032
gmm-hmm,switching_frequency,regime_quality,lower,0.028112449799196804
gmm-hmm,occupancy_concentration,regime_quality,lower,0.623008
gmm-hmm,state_entropy,regime_quality,higher,0.8144326879441559
gmm-hmm,transition_concentration,regime_quality,higher,0.960189452124936
gmm-hmm,probability_entropy,regime_quality,lower,0.04563192717561965
gmm-hmm,aligned_accuracy,recovery,higher,0.848
gmm-hmm,balanced_accuracy,recovery,higher,0.8985218402258761
gmm-hmm,adjusted_rand_index,recovery,higher,0.391725953390842
gmm-hmm,normalized_mutual_information,recovery,higher,0.32329482193433084
gmm-hmm,macro_f1,recovery,higher,0.7425474254742548
gmm-hmm,boundary_precision,recovery,higher,0.0
gmm-hmm,boundary_recall,recovery,higher,0.0
gmm-hmm,boundary_f1,recovery,higher,0.0
gmm-hmm,recovery_score,recovery,higher,0.5847045107216472
gmm-hmm,confidence_calibration,regime_quality,lower,0.1451216063226913
hsmm,prediction_coverage,runtime,higher,1.0
hsmm,fit_seconds,runtime,lower,0.7620470998808742
hsmm,regime_persistence,regime_quality,higher,0.9718875502008032
hsmm,switching_frequency,regime_quality,lower,0.028112449799196804
hsmm,occupancy_concentration,regime_quality,lower,0.623008
hsmm,state_entropy,regime_quality,higher,0.8144326879441559
hsmm,transition_concentration,regime_quality,higher,0.960189452124936
hsmm,probability_entropy,regime_quality,lower,0.04562051157978049
